휴게소명,도로종류,도로노선번호,도로노선명,도로노선방향,위도,경도,휴게소종류,휴게소운영시작시각,휴게소운영종료시각,도로점용면적,주차면수,경정비가능여부,주유소유무,LPG충전소유무,전기차충전소유무,버스환승가능여부,쉼터유무,화장실유무,약국유무,수유실유무,매점유무,음식점유무,기타편의시설,휴게소대표음식명,휴게소전화번호,데이터기준일자,제공기관코드,제공기관명
경기광주휴게소(상행),고속국도,52,광주원주선,상행,37.380758,127.425385,일반휴게소,00:00,23:59,38613,252,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,고객용PC+ATM+휴대폰충전기+하이패스무인충전기+프린터+ FAX,소머리곰탕+교동짬뽕,031-8027-3945,2019-08-27,1611000,국토해양부
송산포도휴게소,고속국도,153,평택시흥선,양방향,37.234958,126.760237,일반휴게소,00:00,23:59,116726,586,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,"샤워실+세탁실+ATM+특산물+하이패스무인충전기+와이파이존+공기청정기+식권무인발매기+고객용PC 및 프린터, FAX, 핸드폰충전기+셀프코너(주유소)",송산이네 우리콩 된장찌개+송산포도호두과자,031-355-1564,2019-08-27,1611000,국토해양부
오산휴게소(하행),고속국도,400,수도권제2순환선(봉담-동탄),하행,37.175917,127.038088,일반휴게소,00:00,23:59,62167,244,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,ATM,곤드레돌솥비빔밥+짬뽕순두부찌개,031-370-5500,2019-08-27,1611000,국토해양부
오산휴게소(상행),고속국도,400,수도권제2순환선(봉담-동탄),상행,37.178892,127.036575,일반휴게소,00:00,23:59,51647,192,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,ATM,곤드레돌솥비빔밥+짬뽕순두부찌개,031-370-5550,2019-08-27,1611000,국토해양부
가평휴게소(하행),고속국도,60,서울양양선(서울-춘천),상행,37.702608,127.546298,일반휴게소,00:00,23:59,52697,581,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,ATM+애견파크+야외테라스 쉼터+핸드폰 충전기+고객용 PC 및 프린터+고객 도움벨,가평잣소고기국밥+가평잣산채비빔밥+해물순두부찌개,031-584-1426,2019-08-27,1611000,국토해양부
가평휴게소(상행),고속국도,60,서울양양선(서울-춘천),하행,37.701486,127.543445,일반휴게소,00:00,23:59,52236,565,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,ATM+특산물코너+야외테라스 쉼터+핸드폰 충전기+고객용 PC 및 프린터+고객 도움벨,가평잣소고기국밥+가평잣산채비빔밥+해물순두부찌개,031-584-1425,2019-08-27,1611000,국토해양부
장안휴게소(하행),고속국도,65,부산울산선,하행,35.381913,129.247302,일반휴게소,00:00,23:59,45721,167,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,ATM+특산물코너+산책로,사골버섯육개장,051-727-3647,2019-08-27,1611000,국토해양부
장안휴게소(상행),고속국도,65,부산울산선,상행,35.379502,129.247713,일반휴게소,00:00,23:59,40848,167,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,ATM+특산물코너,사골버섯육개장,051-727-3714,2019-08-27,1611000,국토해양부
양주간이휴게소,고속국도,100,서울외곽순환선,하행,37.4046243,126.5510345,간이휴게소,00:00,23:59,5965,81,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,ATM,덕평소고기 국밥,031-871-2994,2019-08-27,1611000,국토해양부
청도새마을휴게소(하행),고속국도,55,중앙선(대구-부산),하행,35.599057,128.768933,일반휴게소,00:00,23:59,53473,214,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,전망대+샤워실+세탁실+ATM+내고장특산물코너+와이파이공유기+쓰레기통,새마을육개장,054-373-8121,2019-08-27,1611000,국토해양부
청도새마을휴게소(상행),고속국도,55,중앙선(대구-부산),상행,35.589988,128.767670,일반휴게소,00:00,23:59,61078,287,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,샤워실+세탁실+ATM+내고장특산물코너+와이파이공유기+쓰레기통,새마을육개장,054-373-6280,2019-08-27,1611000,국토해양부
탄천휴게소,고속국도,25,호남선(천안-논산),하행,36.320162,127.071268,일반휴게소,00:00,23:59,18703,184,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,"ATM+백제문화갤러리+공주 장선리 토실 유적지+무료와이파이+핸드폰충전기+하이패스무인충전기+프린터,팩스,고객용PC",왕갈비탕+생생돈가스,041-854-3521,2019-08-27,1611000,국토해양부
이인휴게소,고속국도,25,호남선(천안-논산),상행,36.351691,127.068272,일반휴게소,00:00,23:59,18461,194,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,ATM+장승공원+무료와이파이+핸드폰충전기+하이패스무인충전기+프린터+팩스+고객용PC,왕갈비탕+생생돈가스,041-856-8351,2019-08-27,1611000,국토해양부
정안알밤휴게소(하행),고속국도,25,호남선(천안-논산),하행,36.572056,127.113535,일반휴게소,00:00,23:59,17358,332,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,"ATM+다람쥐공원+연못+어린이놀이터+로컬푸드코너+고객용PC+휴대폰충전기+하이패스무인충전기(하이플러스, EX)+복합기(프린터,팩스)+고속도로교통정보 모니터+와이파이공유기",왕갈비탕+알밤한우돌솥비빔밥+김치찌개,041-858-0522,2019-08-27,1611000,국토해양부
정안알밤휴게소(상행),고속국도,25,호남선(천안-논산),상행,36.568514,127.113663,일반휴게소,00:00,23:59,20344,277,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,"ATM+산책로(지압길, 체육시설)+전망대+고객용PC+휴대폰충전기+하이패스무인충전기(하이플러스, EX)+복합기(프린터,팩스)+고속도로교통정보 모니터+와이파이공유기",왕갈비탕+정안알밤닭갈비화로구이,041-858-0562,2019-08-27,1611000,국토해양부
영종대교휴게소,고속국도,130,인천국제공항선,하행,37.553795,126.607044,일반휴게소,08:00,21:00,10115,82,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,느린우체통+전망대+ATM+하이패스무인충전기,장터국밥+수제왕돈까스+전주비빕밥,032-560-6400,2019-08-27,1611000,국토해양부
의정부휴게소,고속국도,29,세종포천선(구리-포천),상행,37.435893,127.114709,일반휴게소,00:00,23:59,39616,259,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,샤워실+세탁실+수면실+ATM,의정부부대찌개,031-928-4113,2019-08-27,1611000,국토해양부
별내휴게소,고속국도,29,세종포천선(구리-포천),하행,37.7068902,127.126789,일반휴게소,00:00,23:59,41358,247,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,샤워실+세탁실+수면실+ATM,남양주식불고기비빔밥,031-524-9773,2019-08-27,1611000,국토해양부
삼국유사군위휴게소,고속국도,301,상주영천선,상행,36.079721,128.696781,일반휴게소,00:00,23:59,52679,261,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,샤워실+세탁실+ATM+기사식당,추억의 도시락,054-383-8778,2019-08-27,1611000,국토해양부
군위영천휴게소,고속국도,301,상주영천선,하행,36.071348,128.708164,일반휴게소,00:00,23:59,53830,261,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,샤워실+세탁실+ATM+기사식당,추억의 도시락,054-383-8448,2019-08-27,1611000,국토해양부
낙동강구미휴게소,고속국도,301,상주영천선,상행,36.346071,128.296200,일반휴게소,00:00,23:59,48338,266,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,샤워실+세탁실+ATM+기사식당,양지버섯국밥,054-475-2971,2019-08-27,1611000,국토해양부
덕유산(통영),고속국도,35,대전통영선,하행,35.813428,127.643173,일반휴게소,00:00,23:59,47737,206,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,063-353-5100,2021-08-09,B500004,한국도로공사
덕평,고속국도,50,영동선,양방향,37.241456,127.390189,일반휴게소,00:00,23:59,182761,670,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,,,031-645-0001,2021-08-09,B500004,한국도로공사
동명(부산),고속국도,55,중앙선,하행,36.0069901,128.546504,일반휴게소,00:00,23:59,28095,235,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,054-977-6922,2021-08-09,B500004,한국도로공사
동명(춘천),고속국도,55,중앙선,상행,36.006426,128.5493901,일반휴게소,00:00,23:59,28096,194,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,054-977-6901,2021-08-09,B500004,한국도로공사
동해(삼척),고속국도,65,동해선,하행,37.601776,129.073636,일반휴게소,00:00,23:59,39724,86,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,033-534-6631,2021-08-09,B500004,한국도로공사
마장,고속국도,35,중부선,양방향,37.263849,127.407043,일반휴게소,00:00,23:59,103000,620,N,Y,Y,Y,N,N,Y,Y,Y,Y,Y,,,031-630-0001,2021-08-09,B500004,한국도로공사
망향(부산),고속국도,1,경부선,하행,36.8556501,127.180929,일반휴게소,00:00,23:59,34779,332,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,041-557-4000,2021-08-09,B500004,한국도로공사
매송(목포),고속국도,15,서해안선,하행,37.265084,126.888544,화물차휴게소,00:00,23:59,80395,394,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,,,031-296-1501,2021-08-09,B500004,한국도로공사
매송(서울),고속국도,15,서해안선,상행,37.264769,126.891795,화물차휴게소,00:00,23:59,87552,396,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,,,031-295-1501,2021-08-09,B500004,한국도로공사
목감(서울),고속국도,15,서해안선,상행,37.389393,126.869964,간이휴게소,00:00,23:59,19800,85,N,Y,Y,N,N,N,Y,N,Y,Y,Y,,,031-411-0590,2021-08-09,B500004,한국도로공사
문경(양평),고속국도,45,중부내륙선,상행,36.621068,128.1523901,화물차휴게소,00:00,23:59,58347,177,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,054-554-1610,2021-08-09,B500004,한국도로공사
문경(창원),고속국도,45,중부내륙선,하행,36.620549,128.149982,화물차휴게소,00:00,23:59,74440,146,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,054-554-1655,2021-08-09,B500004,한국도로공사
문막(강릉),고속국도,50,영동선,상행,37.335469,127.8582201,일반휴게소,00:00,23:59,42780,182,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,,,033-731-8481,2021-08-09,B500004,한국도로공사
문막(인천),고속국도,50,영동선,하행,37.297853,127.817261,일반휴게소,00:00,23:59,18397,164,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,,,033-747-8162,2021-08-09,B500004,한국도로공사
문산(순천),고속국도,10,남해선,하행,35.171374,128.151591,일반휴게소,00:00,23:59,52200,298,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,055-761-2820,2021-08-09,B500004,한국도로공사
백양사(순천),고속국도,25,호남선,하행,35.394425,126.805361,일반휴게소,00:00,23:59,31030,70,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,061-394-9990,2021-08-09,B500004,한국도로공사
백양사(천안),고속국도,25,호남선,상행,35.393018,126.807376,일반휴게소,00:00,23:59,29681,70,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,061-394-5177,2021-08-09,B500004,한국도로공사
벌곡(논산),고속국도,251,호남지선,하행,36.217974,127.273468,일반휴게소,00:00,23:59,27840,141,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,041-732-7694,2021-08-09,B500004,한국도로공사
벌곡(대전),고속국도,251,호남지선,상행,36.210451,127.270542,일반휴게소,00:00,23:59,24628,171,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,041-734-5250,2021-08-09,B500004,한국도로공사
보성녹차(순천),고속국도,10,남해선,하행,34.807313,127.181003,간이휴게소,00:00,23:59,27411,85,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,070-4325-8808,2021-08-09,B500004,한국도로공사
보성녹차(영암),고속국도,10,남해선,상행,34.807313,127.181003,간이휴게소,00:00,23:59,41433,71,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,070-4325-8801,2021-08-09,B500004,한국도로공사
부여백제(공주),고속국도,151,서천공주선,상행,36.258352,126.8000701,일반휴게소,00:00,23:59,71199,95,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,041-833-5400,2021-08-09,B500004,한국도로공사
부여백제(서천),고속국도,151,서천공주선,하행,36.258383,126.796755,일반휴게소,00:00,23:59,72611,99,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,041-834-5600,2021-08-09,B500004,한국도로공사
사천(부산),고속국도,10,남해선,상행,35.073173,128.010802,일반휴게소,00:00,23:59,21205,134,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,055-854-3134,2021-08-09,B500004,한국도로공사
사천(순천),고속국도,10,남해선,하행,35.074968,128.012589,일반휴게소,00:00,23:59,30117,131,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,055-854-3547,2021-08-09,B500004,한국도로공사
산청(대전),고속국도,35,대전통영선,상행,35.333522,127.938998,일반휴게소,00:00,23:59,30853,139,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,055-973-5970,2021-08-09,B500004,한국도로공사
산청(통영),고속국도,35,대전통영선,하행,35.333504,127.937049,일반휴게소,00:00,23:59,26830,104,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,055-973-9036,2021-08-09,B500004,한국도로공사
서산(목포),고속국도,15,서해안선,하행,36.742991,126.565029,일반휴게소,00:00,23:59,61600,266,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,041-688-8814,2021-08-09,B500004,한국도로공사
서산(서울),고속국도,15,서해안선,상행,36.734194,126.566302,일반휴게소,00:00,23:59,53378,213,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,041-688-7714,2021-08-09,B500004,한국도로공사
서여주(양평),고속국도,45,중부내륙,상행,37.278607,127.580501,간이휴게소,00:00,23:59,58111,70,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,031-885-9760,2021-08-09,B500004,한국도로공사
서여주(창원),고속국도,45,중부내륙,하행,37.279412,127.578083,간이휴게소,00:00,23:59,51095,65,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,031-884-9714,2021-08-09,B500004,한국도로공사
서울만남(부산),고속국도,1,경부선,하행,37.460166,127.041908,일반휴게소,00:00,23:59,13845,262,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,02-578-3372,2021-08-09,B500004,한국도로공사
서천(목포),고속국도,15,서해안선,하행,36.129505,126.626485,일반휴게소,00:00,23:59,57948,147,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,041-952-5757,2021-08-09,B500004,한국도로공사
서천(서울),고속국도,15,서해안선,상행,36.131929,126.627834,일반휴게소,00:00,23:59,54919,206,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,041-952-9700,2021-08-09,B500004,한국도로공사
선산(양평),고속국도,45,중부내륙선,상행,36.277941,128.249296,일반휴게소,00:00,23:59,32460,274,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,,,054-482-6011,2021-08-09,B500004,한국도로공사
선산(창원),고속국도,45,중부내륙선,하행,36.274223,128.250745,일반휴게소,00:00,23:59,28943,297,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,,,054-482-6031,2021-08-09,B500004,한국도로공사
섬진강(부산),고속국도,25,호남선,상행,34.9847001,127.770697,일반휴게소,00:00,23:59,18130,195,N,Y,N,Y,Y,N,Y,N,Y,Y,Y,,,061-772-7986,2021-08-09,B500004,한국도로공사
섬진강(순천),고속국도,25,호남선,하행,34.985669,127.769329,일반휴게소,00:00,23:59,15454,184,N,Y,N,Y,Y,N,Y,N,Y,Y,Y,,,061-772-7993,2021-08-09,B500004,한국도로공사
성주(양평),고속국도,45,중부내륙선,상행,36.0082601,128.261541,화물차휴게소,00:00,23:59,38848,180,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,,,054-933-0800,2021-08-09,B500004,한국도로공사
성주(창원),고속국도,45,중부내륙선,하행,36.010603,128.259675,화물차휴게소,00:00,23:59,38631,180,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,,,054-932-0800,2021-08-09,B500004,한국도로공사
속리산(청주),고속국도,30,당진영덕선,하행,36.447804,127.869061,일반휴게소,00:00,23:59,53607,150,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,043-544-1466,2021-08-09,B500004,한국도로공사
순천(순천),고속국도,25,호남선,하행,35.0085501,127.445044,간이휴게소,00:00,23:59,23306,42,N,N,Y,Y,N,Y,Y,N,Y,Y,Y,,,061-755-4982,2021-08-09,B500004,한국도로공사
시흥하늘,고속국도,100,수도권제1순환선,양방향,37.383794,126.855452,일반휴게소,00:00,23:59,16700,560,N,Y,Y,Y,N,N,Y,Y,Y,Y,Y,,,031-481-9764,2021-08-09,B500004,한국도로공사
신탄진(서울),고속국도,1,경부선,상행,36.426834,127.418438,화물차휴게소,00:00,23:59,63846,293,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,042-934-2442,2021-08-09,B500004,한국도로공사
안동(부산),고속국도,55,중앙선,하행,36.553167,128.641923,일반휴게소,00:00,23:59,42822,190,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,054-853-4370,2021-08-09,B500004,한국도로공사
안동(춘천),고속국도,55,중앙선,상행,36.5534301,128.645144,일반휴게소,00:00,23:59,40874,254,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,054-853-4061,2021-08-09,B500004,한국도로공사
안성(부산),고속국도,1,경부선,하행,37.013407,127.1448001,일반휴게소,00:00,23:59,28974,479,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,031-655-0531,2021-08-09,B500004,한국도로공사
안성(서울),고속국도,1,경부선,상행,37.076681,127.132496,일반휴게소,00:00,23:59,85692,385,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,031-611-5793,2021-08-09,B500004,한국도로공사
안성맞춤(제천),고속국도,40,평택제천선,하행,36.968057,127.274261,일반휴게소,00:00,23:59,66492,148,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,031-674-4406,2021-08-09,B500004,한국도로공사
안성맞춤(평택),고속국도,40,평택제천선,상행,36.969915,127.274619,일반휴게소,00:00,23:59,59766,141,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,031-673-3822,2021-08-09,B500004,한국도로공사
양산(서울),고속국도,1,경부선,상행,35.323172,129.056867,일반휴게소,00:00,23:59,35779,207,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,055-384-0144,2021-08-09,B500004,한국도로공사
언양(서울),고속국도,1,경부선,상행,35.597942,129.141801,일반휴게소,00:00,23:59,27816,170,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,052-263-6153,2021-08-09,B500004,한국도로공사
여산(순천),고속국도,25,호남선,하행,36.048555,127.102333,일반휴게소,00:00,23:59,51744,2,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,063-836-5280,2021-08-09,B500004,한국도로공사
여산(천안),고속국도,25,호남선,상행,36.048528,127.104716,일반휴게소,00:00,23:59,28050,184,N,Y,Y,N,N,N,Y,N,Y,Y,Y,,,063-836-5168,2021-08-09,B500004,한국도로공사
여주(강릉),고속국도,50,영동선,상행,37.238022,127.568892,일반휴게소,00:00,23:59,52610,252,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,,,031-882-3120,2021-08-09,B500004,한국도로공사
여주(인천),고속국도,50,영동선,하행,37.239739,127.569949,일반휴게소,00:00,23:59,47973,247,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,031-882-2900,2021-08-09,B500004,한국도로공사
영산(창원),고속국도,451,중부내륙지선,하행,35.429794,128.495915,일반휴게소,00:00,23:59,20609,102,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,055-521-2978,2021-08-09,B500004,한국도로공사
영천(대구),고속국도,20,대구포항선,하행,36.053254,129.044422,화물차휴게소,00:00,23:59,80288,304,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,054-338-0037,2021-08-09,B500004,한국도로공사
영천(포항),고속국도,20,대구포항선,상행,36.051451,129.042544,화물차휴게소,00:00,23:59,74442,270,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,054-338-0062,2021-08-09,B500004,한국도로공사
예산(당진),고속국도,30,당진영덕선,하행,36.619429,126.846389,일반휴게소,00:00,23:59,66423,150,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,041-335-0020,2021-08-09,B500004,한국도로공사
예산(대전),고속국도,30,당진영덕선,상행,36.6234601,126.839619,일반휴게소,00:00,23:59,62787,119,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,041-334-0094,2021-08-09,B500004,한국도로공사
오수(순천),고속국도,27,순천완주선,하행,35.540925,127.309267,일반휴게소,00:00,23:59,57978,156,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,063-644-6116,2021-08-09,B500004,한국도로공사
오수(완주),고속국도,27,순천완주선,상행,35.540271,127.311622,일반휴게소,00:00,23:59,44883,156,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,063-644-5115,2021-08-09,B500004,한국도로공사
오창(남이),고속국도,35,중부선,하행,36.758481,127.481777,일반휴게소,00:00,23:59,11001,49,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,,,043-217-1477,2021-08-09,B500004,한국도로공사
오창(하남),고속국도,35,중부선,상행,36.756581,127.481909,일반휴게소,00:00,23:59,16297,65,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,,,043-217-8303,2021-08-09,B500004,한국도로공사
옥계(속초),고속국도,65,동해선,상행,37.616198,129.060129,일반휴게소,00:00,23:59,70390,230,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,033-534-1700,2021-08-09,B500004,한국도로공사
옥산(부산),고속국도,1,경부선,하행,36.657743,127.369817,화물차휴게소,00:00,23:59,33272,319,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,043-260-1053,2021-08-09,B500004,한국도로공사
옥천(부산),고속국도,1,경부선,하행,36.296863,127.595223,화물차휴게소,00:00,23:59,43421,145,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,043-731-8521,2021-08-09,B500004,한국도로공사
옥천(서울),고속국도,1,경부선,상행,36.297616,127.598777,일반휴게소,00:00,23:59,25278,126,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,043-731-8097,2021-08-09,B500004,한국도로공사
옥천만남,고속국도,1,경부선,양방향,36.308718,127.572308,화물차휴게소,00:00,23:59,45218,169,Y,Y,N,Y,N,Y,Y,N,N,Y,N,,,043-732-0081,2021-08-09,B500004,한국도로공사
와촌(포항),고속국도,20,대구포항선,상행,35.951819,128.775563,일반휴게소,00:00,23:59,41484,163,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,053-853-1002,2021-08-09,B500004,한국도로공사
외동(부산),고속국도,65,울산포항선,하행,35.672753,129.285277,일반휴게소,00:00,23:59,27498,72,N,Y,N,Y,N,N,Y,N,Y,Y,Y,,,054-745-0637,2021-08-09,B500004,한국도로공사
외동(포항),고속국도,65,울산포항선,상행,35.672847,129.288543,일반휴게소,00:00,23:59,29069,72,N,Y,N,Y,N,N,Y,N,Y,Y,Y,,,054-745-0631,2021-08-09,B500004,한국도로공사
용인(강릉),고속국도,50,영동선,상행,37.245583,127.2419801,일반휴게소,00:00,23:59,33223,286,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,031-339-3663,2021-08-09,B500004,한국도로공사
용인(인천),고속국도,50,영동선,하행,37.248318,127.238342,일반휴게소,00:00,23:59,32862,163,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,031-339-3660,2021-08-09,B500004,한국도로공사
울주(울산),고속국도,14,밀양울산선,상행,35.510821,129.130435,일반휴게소,00:00,23:59,0,0,N,Y,N,N,N,Y,Y,N,Y,Y,Y,,,052-977-3243,2021-08-09,B500004,한국도로공사
울주(함양),고속국도,14,밀양울산선,하행,35.5131601,129.128519,일반휴게소,00:00,23:59,0,0,N,Y,N,N,N,Y,Y,N,Y,Y,Y,,,052-933-5242,2021-08-09,B500004,한국도로공사
원주(부산),고속국도,55,중앙선,하행,37.435194,127.929063,일반휴게소,00:00,23:59,48897,173,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,,,033-731-4291,2021-08-09,B500004,한국도로공사
원주(춘천),고속국도,55,중앙선,상행,37.434542,127.931768,일반휴게소,00:00,23:59,42927,188,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,,,033-731-8194,2021-08-09,B500004,한국도로공사
음성(남이),고속국도,35,중부선,하행,37.019638,127.480712,일반휴게소,00:00,23:59,77783,361,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,,,043-878-6410,2021-08-09,B500004,한국도로공사
